subjectName,school,major,subjectCode,unit,category,target_year,elecCompul,quarter
Design Pitching Skills,DES,END,2713E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
Design Pitching Skills,DES,IND,2713J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
Design Pitching Skills,DES,DFT,2713E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
Design Pitching Skills,DES,MED,2713E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
Design Pitching Skills,DES,ACD,2713E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
Global Design Innovations,DES,END,2712E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Global Design Innovations,DES,IND,2712E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Global Design Innovations,DES,DFT,2712E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Global Design Innovations,DES,MED,2712E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Global Design Innovations,DES,ACD,2712E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Intellectual Property Rights : Global Perspective,DES,END,2714E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
Intellectual Property Rights : Global Perspective,DES,IND,2714E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
Intellectual Property Rights : Global Perspective,DES,DFT,2714E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
Intellectual Property Rights : Global Perspective,DES,MED,2714E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
Intellectual Property Rights : Global Perspective,DES,ACD,2714E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
Start-ups and Global Disruptors,DES,END,2711E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Start-ups and Global Disruptors,DES,IND,2711E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Start-ups and Global Disruptors,DES,DFT,2711E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Start-ups and Global Disruptors,DES,MED,2711E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
Start-ups and Global Disruptors,DES,ACD,2711E,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
アニメーション表現,DES,MED,2212J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
インターンシップ（学部）,DES,END,3041J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,通年集中
インターンシップ（学部）,DES,IND,3041J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,通年集中
インターンシップ（学部）,DES,VCD,3071J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,通年集中
インターンシップ（学部）,DES,ACD,3031J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,通年集中
インターンシップ（学部）,DES,AID,3011J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,通年集中
インダストリアルデザイン基礎Ⅰ,DES,IND,1111J,1,コース基礎科目　Course Fundamental Subjects,学部1年　Undergraduate first grade,1,秋学期
インダストリアルデザイン基礎Ⅱ,DES,IND,1211J,1,コース基礎科目　Course Fundamental Subjects,学部1年　Undergraduate first grade,1,冬学期
インタラクションデザイン,DES,MED,2313J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
インタラクティブインターフェース演習,DES,AID,3412W,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
Webコンテンツデザイン演習,DES,AID,3432J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
映像表現,DES,MED,2211J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,春学期
演劇文化論,DES,MED,2412J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
応用音楽学,DES,ACD,3321W,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
応用音楽表現演習Ⅰ,DES,DFT,2121J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
応用音楽表現演習Ⅰ,DES,ACD,2222J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
応用音楽表現演習Ⅱ,DES,DFT,2122J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
応用音楽表現演習Ⅱ,DES,ACD,2223J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
応用音響理論,DES,ACD,2331J,2,コース専門科目　Course Specialized Subjects,学部3年　Undergraduate third grade / 学部2年　Undergraduate second grade,1,冬学期
応用時系列解析,DES,IND,3531J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,冬学期
音文化論,DES,ACD,2113J,2,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,春学期
音文化論演習,DES,ACD,2324J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
音楽学,DES,ACD,3311J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,春学期
音楽理論表現演習,DES,ACD,2221J,2,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,3,前期
音響構成,DES,ACD,4411J,4,専攻教育科目　Specialized Education,学部4年/fourth grade,1,前期
音響実験Ⅰ,DES,ACD,3811J,3,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,3,前期
音響実験Ⅱ,DES,ACD,3821J,3,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,3,後期
音響情報工学,DES,ACD,3621J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
音響情報工学演習,DES,ACD,3841J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
音響信号処理,DES,ACD,2116J,2,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,春学期
音響プログラミング演習,DES,ACD,2212J,2,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,1,夏学期
音響理論演習Ⅰ（2019年度以前入学者対象）,DES,ACD,2111J,3,専攻教育科目　Specialized Education,学部2年　Undergraduate second grade,3,春学期
音響理論演習Ⅰ（2020年度入学者対象）,DES,ACD,2114J,2,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,春学期
音響理論演習Ⅱ（2019年度以前入学者対象）,DES,ACD,2112J,3,専攻教育科目　Specialized Education,学部2年　Undergraduate second grade,3,秋学期
音響理論演習Ⅱ（2020年度入学者対象）,DES,ACD,2115J,2,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,秋学期
音声情報学,DES,ACD,2341J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
科学技術とデザイン,DES,END,2034J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,夏学期
科学技術とデザイン,DES,IND,2034J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,夏学期
科学技術とデザイン,DES,DFT,2034J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,夏学期
科学技術とデザイン,DES,MED,2034J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,夏学期
科学技術とデザイン,DES,ACD,2034J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,夏学期
拡張映像表現スタジオ演習,DES,VCD,3821J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
画像処理演習,DES,VCD,3512J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,春学期
画像メディア工学演習,DES,VCD,3532J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
画像論演習,DES,VCD,3212J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期集中
楽器・音響機器論,DES,ACD,3531J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
環境形成史,DES,END,3361J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,冬学期
環境材料論Ⅰ,DES,END,2521J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,春学期
環境情報論,DES,END,3671J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
環境生理学,DES,IND,2142J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
環境設計基礎Ⅰ,DES,END,1231J,1,コース基礎科目　Course Fundamental Subjects,学部1年　Undergraduate first grade,1,秋学期
環境設計基礎Ⅱ,DES,IND,1412J,1,コース基礎科目　Course Fundamental Subjects,学部1年　Undergraduate first grade,1,冬学期
環境設計プロジェクトA,DES,END,2411J,2,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,春学期
環境設計プロジェクトC,DES,END,2413J,2,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,1,秋学期
環境設計プロジェクトD,DES,END,2414J,2,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,1,冬学期
環境設計プロジェクトB,DES,END,2412J,2,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,夏学期
環境設計文献講読,DES,END,3801W,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
環境総合プロジェクト,DES,END,4491W,4,専攻教育科目　Specialized Education,学部4年　Undergraduate third grade/fourth grade,1,前期
環境総合プロジェクトA,DES,END,4411J,2,専攻教育科目　Specialized Education,学部4年　Undergraduate fourth grade,1,春学期
