id,school_id,subjectname,subjectcode,unit,category,target_year,eleccompul
1,11,Design Pitching Skills,2713J,1,コース専門科目　Course Specialized Subjects,,1
2,11,Global Design Innovations,2712E,1,コース専門科目　Course Specialized Subjects,,1
3,11,Intellectual Property Rights : Global Perspective,2714E,1,コース専門科目　Course Specialized Subjects,,1
4,11,Start-ups and Global Disruptors,2711E,1,コース専門科目　Course Specialized Subjects,,1
5,11,Webコンテンツデザイン演習,3432J,2,専攻教育科目　Specialized Education,,1
6,11,アニメーション表現,2212J,2,コース専門科目　Course Specialized Subjects,,1
7,11,アート・デザイン・ライティング演習,2531J,1,コース専門科目　Course Specialized Subjects,,1
8,11,インタラクションデザイン,2313J,2,コース専門科目　Course Specialized Subjects,,1
9,11,インタラクティブインターフェース演習,3412W,2,専攻教育科目　Specialized Education,,1
10,11,インターンシップ（学部）,3041J,2,専攻教育科目　Specialized Education,,1
11,11,インダストリアルデザイン基礎Ⅰ,1111J,1,コース基礎科目　Course Fundamental Subjects,,1
12,11,インダストリアルデザイン基礎Ⅱ,1211J,1,コース基礎科目　Course Fundamental Subjects,,1
13,11,ウェブサービスデザイン,3331J,2,コース専門科目　Course Specialized Subjects,,1
14,11,クリティカルシンキング,1511J,1,コース基礎科目　Course Fundamental Subjects,,3
15,11,グラフィックスアルゴリズム演習,3622J,2,専攻教育科目　Specialized Education,,1
16,11,グラフィックデザイン,2214J,1,コース専門科目　Course Specialized Subjects,,1
17,11,グラフィックデザイン演習,3811J,2,専攻教育科目　Specialized Education,,1
18,11,ゲームデザイン,2213J,2,コース専門科目　Course Specialized Subjects,,1
19,11,コミュニケーションデザイン演習Ⅰ,2521J,2,コース演習科目 (PBL)　Course Seminar Subjects,,1
20,11,コンセプト論,1111J,1,コース基礎科目　Course Fundamental Subjects,,3
21,11,コンテンツデザイン演習Ⅰ,2571J,2,コース演習科目 (PBL)　Course Seminar Subjects,,1
22,11,コンテンツデザイン演習Ⅱ,2571J,2,コース演習科目 (PBL)　Course Seminar Subjects,,1
